ID,POS,Gloss
24017,adjective,"marked by lively action; ""a bouncing gait""; ""bouncy tunes""; ""the peppy and interesting talk""; ""a spirited dance""",
24018,adjective,"elastic; rebounds readily; ""clean bouncy hair""; ""a lively tennis ball""; ""as resilient as seasoned hickory""; ""springy turf""",
24019,adjective,"capable of resuming original shape after stretching or compression; springy; ""an elastic band""; ""a youthful and elastic walk""",
24020,adjective,"held with another element, substance or material in chemical or physical union",
24021,adjective,"of an organic compound; containing two or more double bonds each separated from the other by a single bond",
24022,adjective,"formed by the union of two compounds; ""a conjugated protein""",
24023,adjective,"confined by bonds; ""bound and gagged hostages""",
24024,adjective,"bound with chains; ""enchained demons strained in anger to gnaw on his bones""; ""prisoners in chains""",
24025,adjective,"bound by chains fastened around the ankles",
24026,adjective,"rolled up and secured; ""furled sails bound securely to the spar""; ""a furled flag""; ""his rolled umbrella hanging on his arm""",
24027,adjective,"bound fast especially having the arms restrained",
24028,adjective,"confined or restricted with or as if with a rope or chain",
24029,adjective,"bound or secured closely; ""the guard was found trussed up with his arms and legs securely tied""; ""a trussed chicken""",
24030,adjective,"tied or bound with wire; ""wired bundles of newspapers""",
24031,adjective,"secured with a cover or binding; often used as a combining form; ""bound volumes""; ""leather-bound volumes""",
24032,adjective,"having trim or fittings of brass; ""a brassbound campaign chest""; ""the heavy brassbound door""",
24033,adjective,"enclosed in a case",
24034,adjective,"(of books) having the back bound in one material and the sides in another",
24035,adjective,"(of books) having a flexible binding",
24036,adjective,"(of books) having a sturdy and attractive binding",
24037,adjective,"(usually followed by `to') governed by fate; ""bound to happen""; ""an old house destined to be demolished""; ""he is destined to be famous""",
24038,adjective,"certain to occur; destined or inevitable; ""he was certain to fail""; ""his fate is certain""; ""In this life nothing is certain but death and taxes""- Benjamin Franklin; ""he faced certain death""; ""sudden but sure regret""; ""he is sure to win""",
24039,adjective,"covered or wrapped with a bandage; ""the bandaged wound on the back of his head""; ""an injury bound in fresh gauze""",
24040,adjective,"given medical care or treatment; ""a treated cold is usually gone in 14 days; if left untreated it lasts two weeks""",
24041,adjective,"headed or intending to head in a certain direction; often used as a combining form as in `college-bound students'; ""children bound for school""; ""a flight destined for New York""",
24042,adjective,"adjusted or located in relation to surroundings or circumstances; sometimes used in combination; ""the house had its large windows oriented toward the ocean view""; ""helping freshmen become oriented to college life""; ""the book is value-oriented throughout""",
24043,adjective,"bound by an oath; ""a bound official""",
24044,adjective,"bound by or stated on oath; ""now my sworn friend and then mine enemy""- Shakespeare",
24045,adjective,"bound by contract",
24046,adjective,"confined in the bowels; ""he is bound in the belly""",
24047,adjective,"have difficult or incomplete or infrequent evacuation of the bowels",
24048,verb,"jump straight up; ""kangaroos pronk""",
24049,verb,"move suddenly, energetically, or violently; ""He burst out of the house into the cool night""",
24050,verb,"perform a capriole, of horses in dressage",
24051,verb,"move around heavily and clumsily; ""the giant tortoises galumphed around in their pen""",
24052,verb,"leap or skip, often in dancing; ""These fish swim with a saltating motion""",
24053,verb,"bound vigorously",
24054,verb,"jump across; ""He leapfrogged his classmates""",
24055,verb,"jump across or leap over (an obstacle)",
24056,verb,"perform a leap where both hind legs come off the ground, of a horse",
24057,verb,"jump lightly",
24058,verb,"jump about playfully",
24059,verb,"make a jump forward or upward",
24060,verb,"narrow or limit; ""reduce the influx of foreigners""",
24061,verb,"limit or restrict to; ""I am tied to UNIX""; ""These big jets are tied to large airports""",
24062,verb,"restrict (school boys') movement to the dormitory or campus as a means of punishment",
24063,verb,"reasonably object (to) or set a limit (on); ""I draw the line when it comes to lending money to friends!""",
24064,verb,"set boundaries to and delimit; ""mark out the territory""",
24065,verb,"keep in check; ""rule one's temper""",
24066,verb,"prevent the progress or free movement of; ""He was hampered in his efforts by the bad weather""; ""the imperialist nation wanted to strangle the free trade between the two small countries""",
24067,verb,"restrict; ""Tighten the rules""; ""stiffen the regulations""",
24068,verb,"repress or suppress (something regarded as undesirable); ""The police clamped down on illegal drugs""",
24069,verb,"limit the range or extent of; ""Contact between the young was inhibited by strict social customs""",
24070,verb,"hold back",
24071,noun,"a length (straight or curved) without breadth or thickness; the trace of a moving point",
24072,noun,"the shape of a raised edge of a more or less circular object",
24073,noun,"the outside boundary or surface of something",
24074,noun,"a region marking a boundary",
24075,noun,"(mathematics) a number equal to or greater than any other number in a given set",
24076,noun,"(mathematics) a number equal to or less than any other number in a given set",
24077,noun,"the middle of the chief navigable channel of a waterway that forms the boundary line between states",
24078,noun,"the outermost or farthest region or point",
24079,noun,"the natural margin formed by hair on the head",
24080,noun,"an international boundary or the area (often fortified) immediately inside the boundary",
24081,noun,"the boundary marking the edge of the sun's influence; the boundary (roughly 100 AU from the sun) between the interplanetary medium and the interstellar medium; where the solar wind and the wind from other stars meet",
24082,noun,"an archaic term for a boundary",
24083,noun,"the boundary between two districts",
24084,noun,"the boundary between two counties",
24085,noun,"the boundary of a city",
24086,noun,"a boundary marking the extremities of something; ""the end of town""",
24087,noun,"the boundary of a specific area",
24088,noun,"the line that appears to bound an object",
24089,noun,"the extended two-dimensional outer boundary of a three-dimensional object; ""they skimmed over the surface of the water""; ""a brush small enough to clean every dental surface""; ""the sun has no distinct surface""",
24090,noun,"a boundary line between land and water",
24091,noun,"the boundary in ancient times between Italy and Gaul; Caesar's crossing it with his army in 49 BC was an act of war",
24092,noun,"the boundary between the Earth's crust and the underlying mantle; ""the Mohorovicic discontinuity averages 5 miles down under oceans and 20 miles down under continents""",
24093,noun,"the greatest possible degree of something; ""what he did was beyond the bounds of acceptable behavior""; ""to the limit of his ability""",
24094,noun,"a narrow boundary; ""he lived on a knife-edge between genius and insanity""",
24095,noun,"the quality of being complete or utter or extreme; ""the starkness of his contrast between justice and fairness was open to many objections""",
24096,noun,"a limit to high speed flight imposed by aerodynamic heating",
24097,noun,"the greatest possible degree; ""he tried his utmost""",
24098,noun,"the limit beyond which something happens or changes; ""on the verge of tears""; ""on the brink of bankruptcy""",
24099,adjective,"closely or inseparably connected or associated with; ""his career is bound up with the fortunes of the enterprise""",
24100,adjective,"deeply devoted to; ""bound up in her teaching""; ""is wrapped up in his family""",
24101,adjective,"bound or obligated, as under a pledge to a particular cause, action, or attitude; ""committed church members""; ""a committed Marxist""",
24102,noun,"(mathematics) a condition specified for the solution to a set of differential equations",
24103,adjective,"having the limits or boundaries established; ""a delimited frontier through the disputed region""",
24104,adjective,"bounded or limited in magnitude or spatial or temporal extent",
24105,adjective,"morally obligatory; ""my bounden duty""",
24106,adjective,"morally or legally constraining or binding; ""attendance is obligatory""; ""an obligatory contribution""",
24107,adjective,"producing in abundance; ""the bountiful earth""; ""a plentiful year""; ""fruitful soil""",
24108,noun,"payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military",
24109,noun,"generosity evidenced by a willingness to give freely",
24110,noun,"the trait of being willing to give your money or time",
24111,noun,"a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat",
24112,noun,"an arrangement of flowers that is usually given as a present",
24113,noun,"a small fipple flute that is played with the left hand while the right hand is free to beat a tabor",
24114,adjective,"(according to Marxist thought) being of the property-owning class and exploitive of the working class",
24115,adjective,"favoring or practicing capitalism",
24116,adjective,"conforming to the standards and conventions of the middle class; ""a bourgeois mentality""",
24117,adjective,"occupying a socioeconomic position intermediate between those of the lower classes and the wealthy",
24118,adjective,"belonging to the middle class",
24119,noun,"a female businessperson",
24120,noun,"someone who organizes a business venture and assumes the risk for it",
24121,noun,"a businessperson who transports goods abroad (for sale)",
24122,noun,"someone whose business involves importing goods from outside (especially from a foreign country)",
24123,noun,"someone who ships goods",
24124,noun,"someone whose business is to supply a particular service or commodity",
24125,noun,"a member of the middle class",
24126,noun,"the social class between the lower and upper classes",
24127,noun,"a person who holds no title",
24128,noun,"a member of the lower middle class",
24129,noun,"lower middle class (shopkeepers and clerical staff etc.)",
24130,verb,"produce buds, branches, or germinate; ""the potatoes sprouted""",
24131,verb,"increase in size by natural process; ""Corn doesn't grow here""; ""In these forests, mushrooms grow under the trees""; ""her hair doesn't grow much anymore""",
24132,verb,"cause to grow or sprout; ""the plentiful rain germinated my plants""",
24133,noun,"the stock exchange in Paris",
24134,verb,"haul with a tackle",
24135,verb,"draw slowly or heavily; ""haul stones""; ""haul nets""",
24136,noun,"the first half of an inning; while the visiting team is at bat; ""a relief pitcher took over in the top of the fifth""",
24137,noun,"a period of illness; ""a bout of fever""; ""a bout of depression""",
24138,noun,"a contest or fight (especially between boxers or wrestlers)",
24139,noun,"a shop that sells women's clothes and jewelry",
24140,adjective,"dull and slow-moving and stolid; like an ox; ""showed a bovine apathy""",
24141,noun,"any of various members of the genus Bos",
24142,noun,"wild and domestic cattle; in some classifications placed in the subfamily Bovinae or tribe Bovini",
24143,noun,"any of various wild bovines especially of the genera Bos or closely related Bibos",
24144,noun,"any of several breeds of Indian cattle; especially a large American heat and tick resistant greyish humped breed evolved in the Gulf States by interbreeding Indian cattle and now used chiefly for crossbreeding",
24145,verb,"perform a ceremonious bow",
24146,verb,"bend the head or the upper part of the body in a gesture of respect or greeting; ""He bowed before the King""",
24147,verb,"acknowledge applause by inclining the head, as of an artist after a performance",
24148,verb,"bend the knees in a gesture of respectful greeting",
24149,verb,"bend the knees and bow in a servile manner",
24150,verb,"bend the knees and bow in church or before a religious superior or image",
24151,verb,"play on a string instrument",
24152,noun,"a knot with two loops and loose ends; used to tie shoelaces",
24153,noun,"any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object",
24154,noun,"a slightly curved piece of resilient wood with taut horsehair strands, used in playing certain stringed instrument",
24155,noun,"a bow used in playing the violin",
24156,noun,"front part of a vessel or aircraft; ""he pointed the bow of the boat toward the finish line""",
24157,noun,"the side that is seen or that goes first",
24158,noun,"a bow fixed transversely on a wooden stock grooved to direct the arrow (quarrel)",
24159,noun,"a curved bow with reversed curve ends",
24160,noun,"a bow drawn by hand as distinguished from a crossbow",
24161,noun,"a powerful wooden bow drawn by hand; usually 5-6 feet long; used in medieval England",
24162,noun,"the string of an archer's bow",
24163,noun,"either of the two halves of a bow from handle to tip; ""the upper limb of the bow""",
24164,noun,"bending the head or body or knee as a sign of reverence or submission or shame",
24165,noun,"bending at the knees; a gesture of respect made by women",
24166,noun,"the act of bending the knees in worship or reverence",
24167,noun,"a former Chinese custom of touching the ground with the forehead as a sign of respect or submission",
24168,noun,"a deep bow with the foot drawn backwards (indicating excessive humility); ""all that bowing and scraping did not impress him""",
24169,noun,"a deep bow; a Muslim form of salutation",
24170,noun,"an appearance by actors or performers at the end of the concert or play in order to acknowledge the applause of the audience",
24171,noun,"a decorative interlacing of ribbons",
24172,noun,"a stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments",
24173,noun,"a downward stroke from the heel to the tip of the bow",
24174,noun,"an upward stroke from the tip to the heel of the bow",
24175,verb,"remove oneself from an obligation; ""He bowed out when he heard how much work was involved""",
24176,verb,"lose interest; ""he retired from life when his wife died""",
24177,verb,"pull out from an agreement, contract, statement, etc.; ""The landlord cannot resile from the lease""",
24178,verb,"move out or away; ""The troops pulled out after the cease-fire""",
24179,verb,"retire gracefully; ""He bowed out when he realized he could no longer handle the demands of the chairmanship""",
24180,verb,"go into retirement; stop performing one's work or withdraw from one's position; ""He retired at age 68""",
24181,verb,"withdraw from active participation; ""He retired from chess""",
24182,noun,"bow tie worn as part of a man's formal evening dress",
24183,noun,"written material that has been bowdlerized",
24184,noun,"the act of deleting or modifying all passages considered to be indecent",
24185,noun,"the deletion of objectionable parts from a literary work",
24186,noun,"a main organ that is situated inside the body",
24187,noun,"the caudal part of the alimentary canal in vertebrate embryos",
24188,verb,"enclose in a bower",
24189,noun,"a stout hunting knife with a single edge",
24190,verb,"roll (a ball)",
24191,verb,"move along on or as if on wheels or a wheeled vehicle; ""The President's convoy rolled past the crowds""",
24192,noun,"the playing of a game of tenpins or duckpins etc",
24193,verb,"engage in the sport of bowling; ""My parents like to bowl on Friday nights""",
24194,verb,"play skittles",
24195,noun,"a round vessel that is open at the top; used for holding fruit or liquids or for serving food",
24196,noun,"a large drinking bowl",
24197,noun,"a large hardwood drinking bowl",
24198,noun,"the bowl of a toilet that can be flushed with water",
24199,noun,"a concave shape with an open top",
24200,noun,"a shape that curves or bends inward",
24201,noun,"a dish that is round and open at the top for serving foods",
24202,noun,"a bowl for holding breakfast cereal",
24203,noun,"small bowl for rinsing the fingers at table",
24204,noun,"bowl used with an electric mixer",
24205,noun,"a shallow metal bowl (usually with a handle) from which children eat",
24206,noun,"a large bowl for serving beverages; usually with a ladle",
